Artist,Title,duration,length_song,numberone,entered,exited,censored,year,bpm,failure
Nelly,(Hot S**t) Country Grammar,34,4.283333333,0,5/1/00,12/25/00,0,2000,81,1
Next,Wifey,21,4.05,0,5/29/00,10/23/00,0,2000,99,1
Kenny G,Auld Lang Syne (The Millenium Mix),5,7.833333333,0,12/27/99,1/31/00,0,2000,110,1
Sonique,It Feels So Good,24,3.8,0,1/24/00,7/10/00,0,2000,135,1
Britney Spears,Oops!.. I Did It Again,20,3.5,0,4/24/00,9/11/00,0,2000,94,1
"Backstreet Boys, The",Shape Of My Heart,11,3.816666667,0,10/16/00,3/5/01,1,2000,96,0
Everclear,Wonderful,21,4.5,0,7/10/00,12/4/00,0,2000,93,1
Ja Rule,Between Me And You,15,4.083333333,0,9/18/00,2/5/01,1,2000,93,0
LeAnn Rimes,I Need You,25,3.7,0,5/29/00,11/20/00,0,2000,144,1
Smash Mouth,Then The Morning Comes,26,3.066666667,0,11/1/99,5/1/00,0,2000,118,1
Jay-Z,I Just Wanna Love U (Give It 2 Me),9,3.833333333,0,10/30/00,3/26/01,1,2000,98,0
Jagged Edge,Let's Get Married,24,4.383333333,0,5/8/00,10/23/00,0,2000,109,1
Filter,Take A Picture,20,4.383333333,0,11/29/99,4/17/00,0,2000,99,1
Ricky Martin,She Bangs,12,4.033333333,0,10/9/00,2/12/01,1,2000,143,0
Mystikal,Shake Ya Ass,20,4.766666667,0,8/14/00,1/1/01,1,2000,98,0
BBMak,Back Here,31,3.583333333,0,5/1/00,12/4/00,0,2000,106,1
Britney Spears,From The Bottom Of My Broken Heart,20,4.5,0,1/31/00,6/19/00,0,2000,149,1
Third Eye Blind,Never Let You Go,22,3.95,0,1/24/00,6/26/00,0,2000,113,1
Red Hot Chili Peppers,Otherside,22,4.216666667,0,2/14/00,7/17/00,0,2000,124,1
Profyle,Liar,15,3.95,0,9/18/00,2/5/01,1,2000,95,0
Barenaked Ladies,Pinch Me,16,3.766666667,0,9/11/00,2/5/01,1,2000,95,0
Jagged Edge,He Can't Love U,20,3.5,0,12/13/99,5/1/00,0,2000,100,1
504 Boyz,Wobble Wobble,18,3.583333333,0,4/17/00,8/21/00,0,2000,85,1
Sting,Desert Rose,26,3.866666667,0,5/15/00,11/13/00,0,2000,112,1
Jay-Z,Big Pimpin',20,3.916666667,0,4/24/00,9/11/00,0,2000,138,1
Kid Rock,Only God Knows Why,20,5.45,0,2/21/00,7/10/00,0,2000,129,1
Foo Fighters,Learn To Fly,21,3.916666667,0,10/18/99,3/13/00,0,2000,136,1
"Dixie Chicks, The",Goodbye Earl,15,4.316666667,0,3/20/00,7/3/00,0,2000,123,1
Guy,Dancin',11,4.133333333,0,12/20/99,3/6/00,0,2000,100,1
Lil Bow Wow,Bounce With Me,19,3.366666667,0,8/21/00,1/8/01,1,2000,143,0
Westlife,Swear It Again,20,4.116666667,0,4/3/00,8/21/00,0,2000,129,1
Train,Meet Virginia,27,3.916666667,0,10/11/99,4/17/00,0,2000,89,1
Carl Thomas,I Wish,20,3.833333333,0,3/27/00,8/14/00,0,2000,89,1
Hanson,This Time Around,7,4.233333333,0,4/24/00,6/12/00,0,2000,83,1
Jessica Simpson,I Think I'm In Love With You,16,3.533333333,0,7/3/00,10/23/00,0,2000,106,1
Ludacris,What's Your Fantasy,13,4.266666667,0,10/2/00,3/5/01,1,2000,140,0
Lil' Zane,Callin' Me,13,3.716666667,0,7/31/00,10/30/00,0,2000,119,1
M2M,Don't Say You Love Me,12,3.683333333,0,11/22/99,2/14/00,0,2000,97,1
SoulDecision,Faded,24,3.416666667,0,7/10/00,12/25/00,0,2000,107,1
Chad Brock,Yes!,20,3.366666667,0,4/10/00,8/28/00,0,2000,126,1
Ricky Martin,Shake Your Bon-Bon,18,3.133333333,0,11/22/99,3/27/00,0,2000,100,1
Vertical Horizon,You're A God,18,3.75,0,8/28/00,1/22/01,1,2000,96,0
Avant,Separated,20,4.216666667,0,5/1/00,9/18/00,0,2000,108,1
LeAnn Rimes,Big Deal,20,3.05,0,10/18/99,3/6/00,0,2000,75,1
IMx,Stay The Night,20,3.616666667,0,10/11/99,2/28/00,0,2000,93,1
Dr. Dre,The Next Episode,20,2.633333333,0,5/29/00,10/16/00,0,2000,94,1
Britney Spears,Lucky,11,3.383333333,0,8/14/00,10/30/00,0,2000,95,1
Savage Garden,Crash And Burn,20,4.683333333,0,4/10/00,8/28/00,0,2000,102,1
Kandi,Don't Think I'm Not,21,3.833333333,0,8/7/00,1/22/01,1,2000,134,0
Sammie,I Like It,20,4.15,0,1/31/00,6/19/00,0,2000,129,1
Goo Goo Dolls,Broadway,20,3.9,0,4/24/00,9/11/00,0,2000,133,1
Mandy Moore,I Wanna Be With You,23,4.2,0,6/19/00,11/27/00,0,2000,75,1
Dr. Dre,Forgot About Dre,20,3.7,0,1/24/00,6/12/00,0,2000,133,1
D'Angelo,Untitled (How Does It Feel),17,7.166666667,0,1/24/00,5/22/00,0,2000,112,1
Jo Dee Messina,That's The Way,20,3.283333333,0,6/26/00,11/13/00,0,2000,91,1
Avant,My First Love,8,4.466666667,0,11/6/00,3/26/01,1,2000,126,0
Son By Four,A Puro Dolor (Purest Of Pain),26,3.5,0,4/10/00,10/9/00,0,2000,149,1
Da Brat,What'Chu Like,20,3.95,0,6/5/00,10/23/00,0,2000,99,1
DMX,Party Up (Up In Here),21,3.75,0,2/28/00,7/24/00,0,2000,100,1
"Dixie Chicks, The",Cowboy Take Me Away,20,4.85,0,11/29/99,4/17/00,0,2000,82,1
Tim McGraw,My Next Thirty Years,10,3.616666667,0,10/23/00,3/12/01,1,2000,98,0
Travis Tritt,Best Of Intentions,19,4.25,0,8/21/00,1/22/01,1,2000,99,0
Alice Deejay,Better Off Alone,20,6.833333333,0,4/10/00,8/28/00,0,2000,137,1
Hoku,Another Dumb Blonde,14,3.783333333,0,2/21/00,5/29/00,0,2000,124,1
Whitney Houston,I Learned From The Best,11,4.3,0,2/21/00,5/8/00,0,2000,74,1
Counting Crows,Hanginaround,20,4.116666667,0,11/8/99,3/27/00,0,2000,91,1
Mary Mary,Shackles (Praise You),20,3.2,0,3/27/00,8/14/00,0,2000,100,1
Mariah Carey,Crybaby,7,5.316666667,0,6/26/00,8/14/00,0,2000,79,1
Tim McGraw,My Best Friend,21,4.55,0,11/29/99,4/24/00,0,2000,147,1
Sugar Ray,Falls Apart,20,4.25,0,1/17/00,6/5/00,0,2000,103,1
Madonna,American Pie,9,4.5,0,2/21/00,4/24/00,0,2000,123,1
Donell Jones,Where I Wanna Be,20,6.366666667,0,4/24/00,9/11/00,0,2000,102,1
Brad Paisley,We Danced,11,3.75,0,10/16/00,3/5/01,1,2000,146,0
Lonestar,What About Now,20,3.5,0,6/12/00,10/30/00,0,2000,125,1
"Backstreet Boys, The",The One,15,3.766666667,0,5/29/00,9/11/00,0,2000,110,1
Toby Keith,How Do You Like Me Now?!,20,3.483333333,0,1/31/00,6/19/00,0,2000,109,1
George Strait,The Best Day,20,3.4,0,1/31/00,6/19/00,0,2000,132,1
"Dixie Chicks, The",Without You,12,3.533333333,0,10/9/00,2/26/01,1,2000,91,0
Musiq,Just Friends (Sunny),11,4.033333333,0,10/16/00,3/5/01,1,2000,94,0
Reba,What Do You Say,20,3.433333333,0,11/1/99,3/20/00,0,2000,85,1
Toni Braxton,Just Be A Man About It,20,4.166666667,0,7/31/00,12/18/00,0,2000,109,1
Enrique Iglesias,Rhythm Divine,17,7.583333333,0,12/6/99,4/3/00,0,2000,124,1
Lara Fabian,I Will Love Again,17,3.716666667,0,6/12/00,10/9/00,0,2000,127,1
Bon Jovi,It's My Life,20,3.733333333,0,8/14/00,1/1/01,1,2000,120,0
Sara Evans,Born To Fly,10,5.6,0,10/23/00,3/12/01,1,2000,100,0
Kenny Chesney,I Lost It,10,3.9,0,10/23/00,3/12/01,1,2000,138,0
J-Shin,One Night Stand,17,4.566666667,0,12/27/99,4/24/00,0,2000,125,1
Eve,Love Is Blind,16,3.85,0,1/10/00,5/1/00,0,2000,91,1
Aaliyah,I Don't Wanna,20,4.25,0,1/31/00,6/19/00,0,2000,130,1
John Michael Montgomery,The Little Girl,16,3.866666667,0,9/11/00,1/29/01,1,2000,83,0
Aaron Carter,Aaron's Party (Come Get It),15,3.383333333,0,8/28/00,12/11/00,0,2000,117,1
Phil Vassar,Just Another Day In Paradise,13,3.9,0,10/2/00,2/19/01,1,2000,73,0
Ice Cube,You Can Do It,12,4.333333333,0,12/6/99,2/28/00,0,2000,99,1
Mark Wills,Back At One,18,4,0,1/17/00,5/22/00,0,2000,129,1
Lucy Pearl,Dance Tonight,19,3.75,0,5/22/00,10/2/00,0,2000,99,1
Alan Jackson,It Must Be Love,20,2.883333333,0,6/26/00,11/13/00,0,2000,112,1
Andy Griggs,She's More,20,3.316666667,0,3/13/00,7/31/00,0,2000,99,1
No Doubt,Simple Kind Of Life,13,4.183333333,0,7/3/00,10/2/00,0,2000,119,1
Wyclef Jean,911,12,4,0,10/9/00,2/19/01,1,2000,87,0
Rascal Flatts,Prayin' For Daylight,20,3.6,0,5/8/00,9/25/00,0,2000,90,1
Vitamin C,Graduation (Friends Forever),12,4.383333333,0,4/17/00,7/10/00,0,2000,80,1
Billy Gilman,One Voice,19,4.116666667,0,6/19/00,10/30/00,0,2000,149,1
Lonestar,Smile,20,3.55,0,12/20/99,5/8/00,0,2000,74,1
Kenny Rogers,Buy Me A Rose,20,3.766666667,0,3/13/00,7/31/00,0,2000,98,1
Tracy Lawrence,Lessons Learned,20,2.916666667,0,1/31/00,6/19/00,0,2000,124,1
George Strait,Go On,18,3.8,0,8/28/00,1/15/01,1,2000,104,0
Sisqo,Got To Get It,20,3.866666667,0,11/22/99,4/10/00,0,2000,102,1
Baha Men,Who Let The Dogs Out,20,3.283333333,0,7/24/00,12/11/00,0,2000,129,1
Clay Walker,The Chain Of Love,20,5.05,0,4/17/00,9/4/00,0,2000,70,1
Martina McBride,Love's The Only House,20,5.216666667,0,2/7/00,6/26/00,0,2000,122,1
Amber,Sexual (Li Da Di),29,4.633333333,0,7/19/99,2/7/00,0,2000,130,1
Aaron Tippin,Kiss This,18,2.883333333,0,8/28/00,1/15/01,1,2000,116,0
SheDaisy,I Will.. But,20,3.666666667,0,7/17/00,12/4/00,0,2000,112,1
Collin Raye,Couldn't Last A Moment,20,3.666666667,0,3/20/00,8/7/00,0,2000,96,1
Black Rob,Whoa!,17,4.066666667,0,3/6/00,7/3/00,0,2000,86,1
Alan Jackson,Pop A Top,17,3.066666667,0,11/15/99,3/13/00,0,2000,118,1
Clint Black,Been There,20,5.466666667,0,2/21/00,7/10/00,0,2000,92,1
Common,The Light,19,3.916666667,0,8/7/00,12/18/00,0,2000,94,1
Phil Vassar,Carlene,19,4.116666667,0,3/6/00,7/17/00,0,2000,129,1
Alan Jackson,www.memory,8,2.6,0,11/6/00,2/19/01,1,2000,94,0
Vitamin C,The Itch,4,3.5,0,12/4/00,2/5/01,1,2000,105,0
Snoop Dogg Presents The Eastsidaz,G'D Up,14,4.45,0,1/10/00,4/17/00,0,2000,97,1
Ideal,Whatever,18,3.8,0,6/12/00,10/16/00,0,2000,101,1
Carl Thomas,Emotional,5,4.516666667,0,11/27/00,4/16/01,1,2000,83,0
Ginuwine,None Of Ur Friends Business,15,4.2,0,12/13/99,3/27/00,0,2000,99,1
Clay Davidson,Unconditional,20,3.933333333,0,3/27/00,8/14/00,0,2000,133,1
DMX,What You Want,20,4.083333333,0,7/3/00,11/20/00,0,2000,83,1
Elton John,Someday Out Of The Blue,15,4.683333333,0,4/24/00,8/7/00,0,2000,80,1
Pearl Jam,Nothing As It Seems,6,5.333333333,0,5/15/00,6/26/00,0,2000,72,1
Mya,The Best Of Me,17,4.2,0,4/17/00,8/14/00,0,2000,86,1
Eric Heatherly,Flowers On The Wall,20,3.266666667,0,5/1/00,9/18/00,0,2000,99,1
Eminem,Stan,8,5.433333333,0,11/6/00,2/19/01,1,2000,80,0
Reba McEntire,I'll Be,20,4.383333333,0,5/15/00,10/2/00,0,2000,122,1
Jennifer Lopez,Feelin' Good,17,4.466666667,0,2/21/00,6/19/00,0,2000,107,1
Keith Urban,Your Everything,16,4.166666667,0,7/17/00,11/6/00,0,2000,139,1
TLC,Dear Lie,7,4.6,0,2/14/00,4/3/00,0,2000,86,1
Vince Gill,Feels Like Love,17,4.216666667,0,9/4/00,1/22/01,1,2000,99,0
Whitney Houston,Could I Have This Kiss Forever,19,3.9,0,6/19/00,10/30/00,0,2000,94,1
Bloodhound Gang,The Bad Touch,12,4.333333333,0,3/20/00,6/12/00,0,2000,122,1
Robbie Williams,Angels,19,3.933333333,0,11/22/99,4/3/00,0,2000,75,1
Jo Dee Messina,Because You Love Me,13,3.833333333,0,1/31/00,5/1/00,0,2000,72,1
Toby Keith,Country Comes To Town,15,3.65,0,8/7/00,11/20/00,0,2000,123,1
Beenie Man,Girls Dem Sugar,10,4.283333333,0,10/23/00,2/5/01,1,2000,117,0
Faith Hill,Let's Make Love,14,4.183333333,0,8/14/00,11/20/00,0,2000,73,1
Kelis,Caught Out There,12,4.15,0,12/6/99,2/28/00,0,2000,92,1
Jay-Z,Anything,8,3.683333333,0,2/28/00,4/24/00,0,2000,81,1
3 Doors Down,Loser,10,4.4,0,10/23/00,3/12/01,1,2000,147,0
Brooks & Dunn,You'll Always Be Loved By Me,19,2.966666667,0,6/12/00,10/23/00,0,2000,103,1
Kenny Chesney,What I Need To Do,17,4.083333333,0,4/3/00,7/31/00,0,2000,78,1
Angie Stone,No More Rain (In This Cloud),17,4.7,0,12/27/99,4/24/00,0,2000,141,1
Da Brat,That's What I'm Looking For,18,3.733333333,0,2/28/00,7/3/00,0,2000,129,1
SheDaisy,This Woman Needs,9,3.333333333,0,2/7/00,4/10/00,0,2000,129,1
Papa Roach,Last Resort,20,3.316666667,0,7/31/00,12/18/00,0,2000,90,1
Yolanda Adams,Open My Heart,18,5.5,0,8/28/00,1/15/01,1,2000,105,0
Shyne,Bad Boyz,15,4.366666667,0,9/11/00,12/25/00,0,2000,83,1
R.E.M.,The Great Beyond,14,4.166666667,0,12/27/99,4/3/00,0,2000,111,1
Joe Diffie,It's Always Somethin',14,2.916666667,0,8/14/00,11/20/00,0,2000,89,1
Tim McGraw,Some Things Never Change,14,3.933333333,0,5/15/00,8/21/00,0,2000,89,1
Don Henley,Taking You Home,20,4.133333333,0,6/26/00,11/13/00,0,2000,144,1
Eminem,The Way I Am,10,4.666666667,0,8/28/00,11/6/00,0,2000,87,1
Nas,You Owe Me,16,3.85,0,3/27/00,7/17/00,0,2000,110,1
Sister Hazel,Change Your Mind,20,4.033333333,0,7/17/00,12/4/00,0,2000,91,1
Puff Daddy,Best Friend,5,5.55,0,2/14/00,3/20/00,0,2000,84,1
Martina McBride,There You Are,13,3.433333333,0,9/11/00,12/11/00,0,2000,72,1
Usher,Pop Ya Collar,7,3.6,0,11/6/00,12/25/00,0,2000,107,1
Lil' Kim,No Matter What They Say,10,4.2,0,7/17/00,9/25/00,0,2000,119,1
LFO,I Don't Wanna Kiss You Goodnight,5,5,0,4/17/00,5/22/00,0,2000,128,1
SheDaisy,Deck The Halls,3,3.766666667,0,12/27/99,1/17/00,0,2000,118,1
Splender,I Think God Can Explain,12,3.916666667,0,6/12/00,9/4/00,0,2000,137,1
Jessica Simpson,Where You Are,6,3.85,0,4/3/00,5/15/00,0,2000,118,1
M2M,Mirror Mirror,18,3.316666667,0,4/3/00,8/7/00,0,2000,100,1
Kumbia Kings,U Don't Love Me,10,3.833333333,0,3/6/00,5/15/00,0,2000,147,1
Joe,Treat Her Like A Lady,17,4.2,0,8/7/00,12/4/00,0,2000,126,1
Mary J. Blige,Deep Inside,15,5.433333333,0,11/15/99,2/28/00,0,2000,129,1
Kelly Price,You Should've Told Me,14,3.2,0,9/25/00,2/12/01,1,2000,120,0
Changing Faces,That Other Woman,11,4,0,10/2/00,12/18/00,0,2000,133,1
Chely Wright,It Was,10,3.85,0,3/6/00,5/15/00,0,2000,85,1
Limp Bizkit,Rollin',7,4.066666667,0,11/13/00,3/12/01,1,2000,97,0
Hot Boys,I Need A Hot Girl,13,4.266666667,0,2/21/00,5/22/00,0,2000,96,1
Jay-Z,Do It Again (Put Ya Hands Up),9,3.783333333,0,1/17/00,3/20/00,0,2000,146,1
Trace Adkins,More,11,3.083333333,0,5/1/00,7/17/00,0,2000,89,1
"Dixie Chicks, The",Cold Day In July,10,5.2,0,6/26/00,9/4/00,0,2000,129,1
Kelly Price,As We Lay,8,6.333333333,0,7/17/00,9/11/00,0,2000,123,1
DMX,What's My Name,11,3.833333333,0,1/17/00,4/3/00,0,2000,94,1
Ricky Martin,Private Emotion,5,4.033333333,0,3/13/00,4/17/00,0,2000,73,1
Nine Days,If I Am,4,4.3,0,12/4/00,1/8/01,1,2000,98,0
Mary J. Blige,Give Me You,9,5,0,4/17/00,6/19/00,0,2000,110,1
Red Hot Chili Peppers,Californication,19,5.35,0,7/31/00,12/11/00,0,2000,97,1
Third Eye Blind,Deep Inside Of You,12,4.166666667,0,9/4/00,11/27/00,0,2000,81,1
Garth Brooks,Do What You Gotta Do,6,2.933333333,0,2/21/00,4/3/00,0,2000,133,1
"Offspring, The",Original Prankster,5,3.7,0,11/27/00,1/29/01,1,2000,73,0
Marc Anthony,My Baby You,15,3.983333333,0,9/18/00,2/5/01,1,2000,115,0
Whitney Houston,"Same Script, Different Cast",9,4.75,0,6/19/00,8/21/00,0,2000,117,1
D'Angelo,Left & Right,5,4.583333333,0,12/13/99,1/17/00,0,2000,115,1
Lenny Kravitz,I Belong To You,9,4.283333333,0,3/27/00,5/29/00,0,2000,87,1
Patty Loveless,That's The Kind Of Mood I'm In,14,3.45,0,9/18/00,12/25/00,0,2000,126,1
Q-Tip,Breathe And Stop,5,4.1,0,1/24/00,2/28/00,0,2000,98,1
LeAnn Rimes,Can't Fight The Moonlight,16,3.55,0,9/11/00,1/29/01,1,2000,97,0
Lil Wayne,Tha Block Is Hot,11,4.216666667,0,12/6/99,2/21/00,0,2000,,1
2 Pac,Baby Don't Cry (Keep Ya Head Up II),7,4.366666667,0,2/28/00,4/17/00,0,2000,94,1
"Wallflowers, The",Sleepwalker,6,3.483333333,0,10/30/00,12/11/00,0,2000,128,1
Drama,"Left, Right, Left",13,3.616666667,0,2/14/00,5/15/00,0,2000,125,1
Limp Bizkit,N 2 Gether Now,11,3.916666667,0,12/6/99,2/21/00,0,2000,102,1
Lox,"Ryde or Die, Chick",7,3.933333333,0,3/20/00,5/8/00,0,2000,95,1
Ying Yang Twins,Whistle While You Twurk,14,4.316666667,0,3/20/00,6/26/00,0,2000,102,1
Clay Walker,"Live, Laugh, Love",11,4.1,0,12/6/99,2/21/00,0,2000,98,1
Metallica,No Leaf Clover (Live),10,5.716666667,0,2/14/00,4/24/00,0,2000,76,1
Yankee Grey,Another Nine Minutes,8,3.166666667,0,5/1/00,6/26/00,0,2000,137,1
Lou Bega,Tricky Tricky ,3,3.383333333,0,1/31/00,2/21/00,0,2000,75,1
Big Punisher,It's So Hard,15,3.416666667,0,4/24/00,8/7/00,0,2000,92,1
Darryl Worley,When You Need My Love,15,3.583333333,0,6/19/00,10/2/00,0,2000,85,1
Lil' Kim,How Many Licks?,5,3.833333333,0,11/27/00,1/29/01,1,2000,105,0
Terri Clark,A Little Gasoline,2,3.116666667,0,12/18/00,1/29/01,1,2000,76,0
Chad Brock,A Country Boy Can Survive,3,3.9,0,1/3/00,1/24/00,0,2000,75,1
Chris Cagle,My Love Goes On And On,10,3.033333333,0,10/23/00,1/8/01,1,2000,80,0
Tracy Byrd,Put Your Hand In Mine,8,4.5,0,1/31/00,3/27/00,0,2000,145,1
Metallica,I Disappear,20,4.433333333,0,5/15/00,10/2/00,0,2000,122,1
Jay-Z,Hey Papi,15,3.666666667,0,8/14/00,11/27/00,0,2000,79,1
Fatboy Slim,The Rockafeller Skank,12,4,0,11/15/99,2/7/00,0,2000,77,1
Gerald Levert,Mr. Too Damn Good,8,4.1,0,3/20/00,5/15/00,0,2000,115,1
Brian McKnight,Stay Or Let It Go,8,4.533333333,0,2/28/00,4/24/00,0,2000,79,1
Gary Allan,Smoke Rings In The Dark,5,4.3,0,1/24/00,2/28/00,0,2000,115,1
Ginuwine,The Best Man I Can Be,12,4.1,0,1/10/00,4/3/00,0,2000,111,1
Before Dark,Monica,9,4.066666667,0,5/22/00,7/24/00,0,2000,87,1
Gloria Estefan,No Me Dejes De Querer,1,3.416666667,0,6/12/00,6/19/00,0,2000,83,1
Stone Temple Pilots,Sour Girl,13,4.266666667,0,7/10/00,10/9/00,0,2000,103,1
Montgomery Gentry,Daddy Won't Sell The Farm,6,4.3,0,3/6/00,4/17/00,0,2000,119,1
Billy Ray Cyrus,You Won't Be Lonely Now,13,3.75,0,9/25/00,12/25/00,0,2000,76,1
Clark Family Experience,Meanwhile Back At The Ranch,6,2.933333333,0,11/20/00,2/12/01,1,2000,94,0
Carl Thomas,Summer Rain,11,4.95,0,9/25/00,12/11/00,0,2000,93,1
Trisha Yearwood,Real Live Woman,6,3.916666667,0,4/3/00,5/15/00,0,2000,126,1
Trick Daddy,Shut Up,11,4.283333333,0,5/22/00,8/7/00,0,2000,72,1
Chante Moore,Straight Up,9,3.666666667,0,10/30/00,1/1/01,1,2000,100,0
Cam'ron,What Means The World To You,10,4.633333333,0,10/16/00,12/25/00,0,2000,143,1
Juvenile,U Understand,6,3.85,0,2/7/00,3/20/00,0,2000,99,1
Dave Hollister,Can't Stay,4,6.283333333,0,3/27/00,4/24/00,0,2000,118,1
Tamia,Can't Go For That,5,3.633333333,0,9/18/00,10/23/00,0,2000,105,1
LFO,West Side Story,4,3.45,0,8/7/00,9/4/00,0,2000,100,1
Brad Paisley,Me Neither,4,3.316666667,0,5/15/00,6/12/00,0,2000,117,1
Torrey Carter,Take That,7,3.716666667,0,6/26/00,8/14/00,0,2000,92,1
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3,3.25,0,9/4/00,9/25/00,0,2000,111,1
Madison Avenue,Don't Call Me Baby,20,3.733333333,0,7/10/00,11/27/00,0,2000,124,1
Eve,Got It All,5,3.8,0,7/17/00,8/21/00,0,2000,95,1
Limp Bizkit,Re-Arranged,18,4.133333333,0,12/6/99,4/10/00,0,2000,105,1
Tracie Spencer,Still In My Heart,3,4.183333333,0,3/6/00,3/27/00,0,2000,89,1
Nu Flavor,3 Little Words,9,3.9,0,6/5/00,8/7/00,0,2000,114,1
Tamar,If You Don't Wanna Love Me,6,4.033333333,0,3/27/00,5/8/00,0,2000,120,1
Gerald Levert,Baby U Are,5,4.166666667,0,8/21/00,9/25/00,0,2000,86,1
Beth Hart,L.A. Song,12,3.783333333,0,11/29/99,2/21/00,0,2000,130,1
Joe Diffie,The Quittin' Kind,6,3.383333333,0,1/3/00,2/14/00,0,2000,101,1
Funkmaster Flex,Do You,7,4.233333333,0,11/13/00,1/1/01,1,2000,96,0
Kelly Price,Love Sets You Free,4,3.766666667,0,5/15/00,6/12/00,0,2000,99,1
En Vogue,Riddle,4,5.166666667,0,6/19/00,7/17/00,0,2000,95,1
Ty Herndon,No Mercy,8,4.716666667,0,3/20/00,5/15/00,0,2000,93,1
Anastacia,I'm Outta Love,3,4.016666667,0,4/3/00,4/24/00,0,2000,119,1
Trina,Pull Over,4,2.966666667,0,9/11/00,10/9/00,0,2000,124,1
Lil' Mo,Ta Da,7,4.283333333,0,8/14/00,10/2/00,0,2000,120,1
